갈래	이름	등록위도	등록경도	주소로_찾은위도	주소로_찾은경도	어긋남m	등록주소	좌표가_있는곳	판정
여행지	유민미술관	33.4292	126.9323	33.426042	126.926443	647	서귀포시 성산읍 섭지코지로 107	제주특별자치도 서귀포시 성산읍 고성리 21	어긋남
여행지	글라스하우스	33.4291	126.9339	33.426042	126.926443	771	서귀포시 성산읍 섭지코지로 107	제주특별자치도 서귀포시 성산읍 고성리 46	어긋남
여행지	방주교회	33.3051	126.3873	33.305125	126.387788	45	서귀포시 안덕면 산록남로762번길 113	제주특별자치도 서귀포시 안덕면 산록남로762번길 113	OK
여행지	본태박물관	33.3038	126.3925	33.303955	126.392568	18	서귀포시 안덕면 산록남로762번길 69	제주특별자치도 서귀포시 안덕면 산록남로762번길 69	OK
여행지	제주도립 김창열미술관	33.3391	126.2688	33.339071	126.268672	12	제주시 한림읍 용금로 883-5	제주특별자치도 제주시 한림읍 용금로 883-5	OK
여행지	제주현대미술관	33.3397	126.2656	33.339693	126.265692	9	제주시 한경면 저지14길 35	제주특별자치도 제주시 한경면 저지14길 35	OK
여행지	오설록 티뮤지엄	33.3057	126.2894	33.305924	126.289492	26	서귀포시 안덕면 신화역사로 15	제주특별자치도 서귀포시 안덕면 서광리 1235-1	동네다름
여행지	이니스프리 제주하우스	33.3063	126.2905	33.306675	126.290893	55	서귀포시 안덕면 신화역사로 23	제주특별자치도 서귀포시 안덕면 서광리 1235-1	동네다름
여행지	성산일출봉	33.4581	126.9425	33.462234	126.936801	701	서귀포시 성산읍 일출로 284-12	제주특별자치도 서귀포시 성산읍 성산리 1	어긋남
여행지	만장굴	33.5282	126.7718	33.528377	126.771616	26	제주시 구좌읍 만장굴길 182	제주특별자치도 제주시 구좌읍 만장굴길 182	OK
여행지	광치기해변	33.4524	126.9247	33.452316	126.923895	75	서귀포시 성산읍 고성리 224-33		OK
여행지	수월봉	33.2938	126.1667	33.294203	126.162995	347	제주시 한경면 노을해안로 1013-70	제주특별자치도 제주시 한경면 고산리 3726	어긋남
