# 여행지 주차장 좌표 — 카카오 길찾기용
#
# 왜 있나: 등록 좌표(index.html 의 SPOT[].ll)는 오름 정상·해변 한가운데를 가리켜서
# 자동차 이동시간을 재면 차가 실제로 서는 곳까지가 아니게 된다. 설계 문서
# docs/superpowers/specs/2026-08-28-schedule-editor-design.md §4.3.1 참고.
#
# 어떻게 만들었나: 카카오 장소 검색에 "{이름} 주차장" 을 물어 가장 가까운 것을 받고,
# 그 좌표가 카카오 길찾기의 출발지로 쓰이는지(result_code 0) 확인했다. 2026-08-28.
#
# ll 을 덮어쓰지 말 것. ll 은 지도에 점을 찍는 데도 쓴다.
#
# 비고 열: OK=그대로 써도 됨 / 확인=이름이 어긋나 사람이 봐야 함 / 없음=주차장 POI 가 없어 등록 좌표를 그대로 씀
#
# 이름	등록위도	등록경도	주차장이름	주차장위도	주차장경도	거리m	비고
유민미술관	33.4292	126.9323	-	-	-	-	없음
글라스하우스	33.4291	126.9339	-	-	-	-	없음
방주교회	33.3051	126.3873	방주교회 주차장	33.3054800232101	126.387270884703	42	OK
본태박물관	33.3038	126.3925	본태박물관 주차장	33.3039513278448	126.392502033991	17	OK
제주도립 김창열미술관	33.3391	126.2688	-	-	-	-	없음
제주현대미술관	33.34	126.2703	김창열미술관 주차장	33.3389064098489	126.268502310616	207	OK
오설록 티뮤지엄	33.3057	126.2894	오설록티뮤지엄 주차장2	33.30475615742165	126.2894245921259	105	OK
이니스프리 제주하우스	33.3063	126.2905	-	-	-	-	없음
성산일출봉	33.4581	126.9425	성산일출봉	33.4591349705437	126.940537521366	215	OK
만장굴	33.5282	126.7718	만장굴 주차장1	33.5289725254716	126.772035540053	89	OK
광치기해변	33.4524	126.9247	광치기해변 주차장	33.4532739809424	126.92465294615307	97	OK
수월봉	33.2938	126.1667	수월봉주차장	33.2952934266877	126.164024733958	299	OK
용머리해안	33.2316	126.3148	용머리해안 공영주차장	33.233794024332454	126.3108984235601	437	OK
대포주상절리	33.2368	126.4255	중문대포주상절리대	33.23798494731946	126.42601106402861	140	OK
외돌개	33.24	126.51	외돌개주차장	33.24122917161984	126.54754941503325	3495	ll오류
사려니숲길	33.395	126.684	사려니숲길 붉은오름 입구 주차장	33.395513551765724	126.68491161396528	102	OK
5.16도로 숲터널	33.3618	126.6229	-	-	-	-	없음
1100고지 습지	33.3578	126.4625	-	-	-	-	없음
화순곶자왈	33.264	126.3317	-	-	-	-	없음
비자림	33.4843	126.8065	비자림 주차장	33.491304229082985	126.8109475864626	881	OK
서귀포자연휴양림	33.3114	126.4589	서귀포자연휴양림 주차장	33.3110964866582	126.458792894236	35	OK
절물자연휴양림	33.437	126.632	절물자연휴양림 공영주차장	33.440295091361	126.628969963074	462	OK
한라생태숲	33.439	126.59	한라생태숲 주차장	33.4303537711359	126.596005011562	1111	OK
섭지코지	33.4242	126.9311	휘닉스제주섭지코지 주차장2	33.4235447008177	126.930145058684	115	OK
군산오름	33.2532	126.3707	군산오름 주차장	33.2528698790547	126.368535004416	205	OK
따라비오름	33.3871	126.7535	따라비오름 주차장	33.3843460428506	126.757982160816	517	OK
비밀의숲(안돌오름)	33.4578	126.7553	-	-	-	-	없음
아부오름	33.4476	126.7773	아부오름 주차장	33.4470946722491	126.781241206965	370	OK
용눈이오름	33.46	126.8315	용눈이오름 주차장	33.4630704755077	126.831608676432	342	OK
산방산	33.237	126.313	산방산주차장	33.2362902272577	126.312623365001	86	OK
쇠소깍	33.2523	126.6239	쇠소깍 제1주차장	33.2541126906325	126.622427178874	244	OK
천지연폭포	33.247	126.554	천지연폭포 주차장	33.2440915956914	126.560300213898	669	OK
정방폭포	33.2445	126.573	정방폭포 주차장	33.24443011734575	126.57362530704184	59	OK
제주마 방목지	33.4276	126.6036	축산진흥원목마장 주차장	33.4270610485684	126.603813705114	63	OK
성이시돌목장	33.3478	126.3273	성이시돌목장 주차장	33.3477896100228	126.328301723152	93	OK
성읍민속마을	33.386	126.799	제주성읍마을 공영주차장	33.38497934166431	126.80079600679345	202	OK
알뜨르비행장	33.205	126.267	-	-	-	-	없음
모슬포항	33.214	126.251	동성수산횟집 주차장	33.2162827248045	126.252175400373	276	OK
제주성서식물원 비블리아	33.356	126.2752	-	-	-	-	없음
김녕해변	33.558	126.759	-	-	-	-	없음
함덕해변	33.5432	126.669	델문도 주차장	33.5439263629773	126.6682913717431	104	OK
이호테우해변	33.498	126.453	-	-	-	-	없음
협재해변	33.394	126.24	스타벅스 제주협재점 주차장	33.393742261364	126.24043334991	49	OK
신창풍차해안	33.3434	126.174	신창풍차해안 공영주차장	33.3428140194546	126.174456703195	78	OK
형제해안도로	33.216	126.2928	-	-	-	-	없음
김녕미로공원	33.5369	126.7725	김녕미로공원 주차장	33.5360917852495	126.772171886892	95	OK
종달리	33.4792	126.8668	-	-	-	-	없음
산방산탄산온천	33.2489	126.2988	제주산방산탄산온천	33.248909272102075	126.2987402457808	6	OK
